campaign_id,campaign_name,date,target_audience,channel,impressions,clicks,conversions,spend,revenue_generated,roas,ctr_pct,conversion_rate_pct
978279,Weekend Special,2024-11-01,All,Email,9713,686,94,2062.29,9160.3,3.06,7.062699474930506,13.702623906705538
350042,Festival Offer,2024-11-01,All,Email,5538,362,51,2486.88,9687.96,2.2,6.53665583243048,14.088397790055248
675128,Flash Sale,2024-11-01,New Users,App,8141,828,37,4123.86,3539.73,2.47,10.170740695246284,4.4685990338164245
439725,Membership Drive,2024-11-01,Inactive,SMS,4249,945,87,1330.62,3115.55,3.59,22.240527182866558,9.206349206349207
39545,Category Promotion,2024-11-01,All,SMS,1489,317,95,2527.82,9966.89,3.03,21.289456010745468,29.96845425867508
473315,App Push Notification,2024-11-01,New Users,Email,5817,987,53,4371.4,5119.87,2.07,16.967509025270758,5.369807497467072
789925,Email Campaign,2024-11-01,Inactive,Email,9893,751,88,3569.0,6649.77,2.23,7.59122611947842,11.717709720372836
249657,Referral Program,2024-11-01,All,Email,6898,977,15,4874.26,3343.94,2.82,14.163525659611482,1.5353121801432956
795261,New User Discount,2024-10-31,New Users,Email,7876,977,73,1813.53,6438.12,3.73,12.404773996952768,7.471852610030706
601445,Weekend Special,2024-10-31,Inactive,SMS,5624,386,70,3572.92,5202.67,1.96,6.863442389758179,18.134715025906736
830587,Festival Offer,2024-10-31,Inactive,App,1081,662,47,2001.9,3301.92,3.52,61.23959296947271,7.099697885196375
706750,Flash Sale,2024-10-31,Premium,App,4511,338,27,1645.66,2073.23,2.57,7.492795389048991,7.988165680473373
584256,Membership Drive,2024-10-31,Inactive,SMS,1810,750,44,1279.23,5722.42,2.73,41.43646408839779,5.866666666666666
886076,Category Promotion,2024-10-31,Premium,SMS,3930,591,25,4678.74,5102.75,1.78,15.038167938931299,4.230118443316413
855895,App Push Notification,2024-10-31,Premium,Email,8796,873,86,2339.85,3999.7,2.98,9.924965893587995,9.851088201603666
514715,Email Campaign,2024-10-31,New Users,App,2341,369,38,2721.86,2480.73,3.48,15.762494660401538,10.29810298102981
741376,Referral Program,2024-10-31,Premium,Email,9694,799,32,3162.72,8424.83,2.48,8.24221167732618,4.005006257822278
347837,New User Discount,2024-10-30,All,Email,8433,551,97,2510.51,7701.36,3.8,6.533855093086684,17.604355716878402
358482,Weekend Special,2024-10-30,New Users,App,4788,628,76,2603.2,2979.58,3.95,13.116123642439431,12.101910828025478
510301,Festival Offer,2024-10-30,All,App,5744,207,47,1966.98,3566.39,2.67,3.603760445682451,22.705314009661837
258760,Flash Sale,2024-10-30,New Users,App,4130,779,89,1741.85,5487.39,1.56,18.861985472154963,11.424903722721439
678723,Membership Drive,2024-10-30,Inactive,SMS,7316,950,54,1650.8,5407.95,2.13,12.985237834882449,5.684210526315789
490727,Category Promotion,2024-10-30,Premium,SMS,7583,501,30,4937.7,8031.55,1.93,6.606883819068971,5.9880239520958085
378426,App Push Notification,2024-10-30,Premium,App,2155,719,70,2233.21,6322.5,3.82,33.364269141531324,9.735744089012517
158279,Email Campaign,2024-10-30,New Users,Email,3245,443,30,1970.09,8773.38,3.74,13.651771956856704,6.772009029345373
57394,Referral Program,2024-10-30,All,App,3328,377,75,3212.25,3778.57,1.74,11.328125,19.893899204244033
633088,New User Discount,2024-10-29,Premium,Email,3832,930,26,2133.42,3655.75,2.51,24.269311064718163,2.795698924731183
827451,Weekend Special,2024-10-29,All,SMS,6494,422,30,2744.72,4665.13,3.49,6.498306128734216,7.109004739336493
221166,Festival Offer,2024-10-29,New Users,Email,2851,712,99,1415.72,7808.19,3.09,24.973693440897932,13.904494382022472
581436,Flash Sale,2024-10-29,Premium,App,2489,543,54,1101.24,8701.2,3.65,21.815990357573323,9.94475138121547
399972,Membership Drive,2024-10-29,All,Email,5187,741,58,1185.35,2169.17,3.73,14.285714285714285,7.827260458839406
467912,Category Promotion,2024-10-29,All,SMS,3949,486,87,4568.63,9613.16,1.87,12.306913142567739,17.901234567901234
928724,App Push Notification,2024-10-29,New Users,Email,8668,660,36,3904.68,2757.27,3.05,7.614213197969544,5.454545454545454
639165,Email Campaign,2024-10-29,Inactive,SMS,1771,226,98,2154.4,8055.52,1.74,12.761151891586675,43.36283185840708
270413,Referral Program,2024-10-29,All,Email,1377,278,43,2165.16,4371.9,3.85,20.18881626724764,15.467625899280577
652845,New User Discount,2024-10-28,All,SMS,4258,162,45,2098.74,8237.05,2.49,3.80460310004697,27.77777777777778
159675,Weekend Special,2024-10-28,Inactive,Email,2239,183,85,1183.89,9661.81,3.17,8.173291648057168,46.44808743169399
89176,Festival Offer,2024-10-28,All,SMS,1666,508,20,3586.46,3395.18,3.25,30.4921968787515,3.937007874015748
294030,Flash Sale,2024-10-28,Inactive,App,1679,965,57,1452.05,6109.1,3.05,57.474687313877304,5.9067357512953365
448860,Membership Drive,2024-10-28,New Users,Email,2775,396,33,4290.98,8723.84,2.1,14.270270270270272,8.333333333333332
618403,Category Promotion,2024-10-28,Inactive,App,1153,198,99,3455.94,4935.65,1.84,17.17259323503903,50.0
795975,App Push Notification,2024-10-28,Inactive,SMS,6100,642,66,3409.53,9276.19,2.56,10.524590163934427,10.2803738317757
453312,Email Campaign,2024-10-28,New Users,App,1618,301,32,3165.37,7731.79,2.61,18.603213844252164,10.631229235880399
468423,Referral Program,2024-10-28,New Users,Email,1927,298,96,2617.58,9553.44,3.03,15.464452516865595,32.21476510067114
359366,New User Discount,2024-10-27,All,Email,1685,999,46,1055.61,4223.44,1.55,59.28783382789318,4.604604604604605
69903,Weekend Special,2024-10-27,Inactive,App,1085,706,41,4118.41,3837.05,2.72,65.06912442396313,5.807365439093484
613932,Festival Offer,2024-10-27,Premium,App,4726,709,59,3577.71,3104.01,1.94,15.002115954295386,8.321579689703809
992886,Flash Sale,2024-10-27,Premium,Email,9194,537,42,2925.63,3760.51,1.66,5.8407657167718074,7.82122905027933
380809,Membership Drive,2024-10-27,Inactive,Email,3122,496,84,2365.57,2572.69,3.47,15.887251761691223,16.93548387096774
509178,Category Promotion,2024-10-27,Premium,Social Media,6487,644,48,3457.17,2472.34,1.62,9.927547402497302,7.453416149068323
794495,App Push Notification,2024-10-27,New Users,App,3049,634,58,2093.96,7406.66,2.9,20.793702853394556,9.14826498422713
880379,Email Campaign,2024-10-27,All,App,2399,335,41,4785.81,9369.74,2.39,13.964151729887453,12.238805970149254
561555,Referral Program,2024-10-27,All,Social Media,4881,102,89,4549.44,8205.53,1.93,2.089735709895513,87.25490196078431
530223,New User Discount,2024-10-26,Inactive,App,8865,176,27,1137.88,6799.15,2.54,1.985335589396503,15.340909090909092
495008,Weekend Special,2024-10-26,Premium,SMS,7698,120,100,4992.5,3353.4,2.3,1.558846453624318,83.33333333333334
565307,Festival Offer,2024-10-26,Premium,SMS,1600,241,72,4917.53,7945.34,1.82,15.0625,29.87551867219917
842270,Flash Sale,2024-10-26,Inactive,SMS,9800,758,53,3310.25,8683.82,2.47,7.73469387755102,6.992084432717678
737765,Membership Drive,2024-10-26,New Users,SMS,9214,909,48,3400.97,9608.9,3.65,9.865422183633601,5.2805280528052805
521471,Category Promotion,2024-10-26,All,SMS,2315,704,100,4403.4,9400.79,3.16,30.41036717062635,14.204545454545455
42263,App Push Notification,2024-10-26,Inactive,Email,1723,258,81,1558.93,8570.27,2.02,14.973882762623331,31.3953488372093
664981,Email Campaign,2024-10-26,New Users,Social Media,1002,705,63,3599.79,4311.79,4.0,70.35928143712576,8.936170212765958
887586,Referral Program,2024-10-26,Inactive,Social Media,3797,149,50,3393.94,6539.92,3.45,3.924150645246247,33.557046979865774
408371,New User Discount,2024-10-25,New Users,App,7239,579,61,4575.26,6288.51,3.88,7.998342312474099,10.535405872193436
993186,Weekend Special,2024-10-25,Premium,Email,2258,513,75,2383.71,5454.96,2.39,22.719220549158546,14.619883040935672
762331,Festival Offer,2024-10-25,Inactive,App,5882,577,19,4474.48,4596.52,2.79,9.80958857531452,3.2928942807625647
209173,Flash Sale,2024-10-25,Premium,Email,8130,137,18,1715.46,9959.51,2.33,1.6851168511685117,13.138686131386862
903905,Membership Drive,2024-10-25,Inactive,App,6268,973,15,3117.62,8722.31,2.13,15.523292916400766,1.5416238437821173
668975,Category Promotion,2024-10-25,New Users,App,5437,972,80,4583.85,7105.69,1.59,17.877505977561157,8.23045267489712
680570,App Push Notification,2024-10-25,Inactive,Email,7010,202,34,1599.34,7806.21,2.99,2.881597717546362,16.831683168316832
192501,Email Campaign,2024-10-25,Inactive,Email,4970,343,53,1947.23,9461.87,3.41,6.901408450704226,15.451895043731778
982430,Referral Program,2024-10-25,Premium,Email,5429,795,82,2842.37,4914.0,2.81,14.643580769939216,10.314465408805033
698056,New User Discount,2024-10-24,All,App,3144,877,18,3704.05,3732.06,2.59,27.89440203562341,2.0524515393386547
941069,Weekend Special,2024-10-24,New Users,Social Media,5133,389,70,2318.95,4311.21,2.18,7.578414182739139,17.994858611825194
602540,Festival Offer,2024-10-24,Inactive,App,6569,620,64,3218.48,2901.45,2.69,9.438270665245852,10.32258064516129
575585,Flash Sale,2024-10-24,Inactive,App,8501,258,57,2437.64,8650.4,2.45,3.034937066227503,22.093023255813954
552893,Membership Drive,2024-10-24,Inactive,Social Media,9012,259,38,1598.76,2093.56,2.33,2.873945849977807,14.671814671814673
882671,Category Promotion,2024-10-24,Inactive,Email,7685,540,47,2199.05,4937.69,1.83,7.026675341574496,8.703703703703704
729422,App Push Notification,2024-10-24,Inactive,Social Media,1753,984,16,4052.53,6151.03,1.59,56.13234455219624,1.6260162601626018
315890,Email Campaign,2024-10-24,New Users,SMS,7736,953,70,2749.84,5113.71,3.28,12.319027921406411,7.345225603357817
242619,Referral Program,2024-10-24,Inactive,Social Media,3112,391,48,4882.83,3755.92,3.74,12.564267352185091,12.27621483375959
457841,New User Discount,2024-10-23,New Users,SMS,8261,557,54,2599.3,3748.91,1.63,6.742525118024452,9.694793536804308
334424,Weekend Special,2024-10-23,Inactive,SMS,6370,604,70,3516.78,2866.2,3.1,9.481946624803768,11.589403973509933
489132,Festival Offer,2024-10-23,New Users,Social Media,4553,469,12,2363.94,6845.16,2.18,10.300900505161433,2.55863539445629
554438,Flash Sale,2024-10-23,All,Social Media,7358,367,41,2165.36,2312.68,3.34,4.987768415330253,11.1716621253406
204191,Membership Drive,2024-10-23,All,Social Media,9385,492,43,1921.19,9824.3,3.58,5.242408098028769,8.739837398373984
586930,Category Promotion,2024-10-23,Inactive,Social Media,7577,598,15,2804.3,9402.79,3.65,7.892305661871453,2.508361204013378
814199,App Push Notification,2024-10-23,New Users,SMS,8240,341,50,4191.03,6688.85,2.37,4.138349514563107,14.66275659824047
871629,Email Campaign,2024-10-23,All,App,2233,547,27,4199.36,5655.15,3.56,24.496193461710703,4.93601462522852
697944,Referral Program,2024-10-23,Inactive,App,4653,188,51,2303.42,4678.46,3.09,4.040404040404041,27.127659574468083
776669,New User Discount,2024-10-22,Inactive,App,6516,252,34,4332.69,7080.93,3.26,3.867403314917127,13.492063492063492
845527,Weekend Special,2024-10-22,Inactive,Social Media,9587,810,77,1323.74,3364.59,1.71,8.448941274642745,9.506172839506172
932133,Festival Offer,2024-10-22,All,Email,6955,317,78,3341.07,5741.39,3.73,4.5578720345075485,24.605678233438486
130164,Flash Sale,2024-10-22,Premium,Social Media,6347,665,75,3934.71,4725.54,1.63,10.477390893335434,11.278195488721805
547470,Membership Drive,2024-10-22,Premium,SMS,9964,465,33,2695.95,3392.76,3.53,4.666800481734244,7.096774193548387
530361,Category Promotion,2024-10-22,Inactive,Email,8285,530,29,3909.95,5650.29,2.03,6.397103198551599,5.471698113207547
181070,App Push Notification,2024-10-22,Inactive,SMS,7265,110,22,2495.46,8618.53,1.94,1.5141087405368203,20.0
27596,Email Campaign,2024-10-22,Premium,Social Media,2648,898,24,3747.0,7410.91,2.99,33.91238670694864,2.6726057906458798
518109,Referral Program,2024-10-22,Premium,SMS,3803,207,42,1671.16,5232.93,3.47,5.443071259531949,20.28985507246377
980545,New User Discount,2024-10-21,Premium,SMS,6378,149,31,4974.32,9771.12,1.73,2.3361555346503606,20.80536912751678
963463,Weekend Special,2024-10-21,New Users,Email,8974,479,39,1741.34,7019.71,2.03,5.337642077111656,8.1419624217119
362162,Festival Offer,2024-10-21,Premium,SMS,4976,562,79,1855.65,2736.38,3.13,11.294212218649518,14.05693950177936
837030,Flash Sale,2024-10-21,All,SMS,9348,397,30,4546.79,8518.37,3.77,4.246897732135216,7.5566750629722925
533144,Membership Drive,2024-10-21,Inactive,App,7432,627,23,1618.63,8290.49,3.9,8.43649085037675,3.6682615629984054
942737,Category Promotion,2024-10-21,Premium,SMS,9433,593,61,1670.95,5415.89,1.99,6.2864412170041355,10.286677908937605
8328,App Push Notification,2024-10-21,All,Email,3212,747,63,3964.61,7024.84,2.44,23.25653798256538,8.433734939759036
446559,Email Campaign,2024-10-21,All,Email,4395,786,53,1766.03,4554.83,1.68,17.8839590443686,6.743002544529262
929421,Referral Program,2024-10-21,All,Social Media,7680,829,81,1652.23,2181.47,3.94,10.794270833333334,9.7708082026538
415106,New User Discount,2024-10-20,All,SMS,5143,930,88,4882.61,2535.36,1.71,18.08283103247132,9.46236559139785
38153,Weekend Special,2024-10-20,All,App,7842,559,20,1927.22,8434.35,2.15,7.128283601122162,3.5778175313059033
523833,Festival Offer,2024-10-20,All,SMS,9486,347,43,1686.15,5813.55,3.61,3.658022348724436,12.39193083573487
170461,Flash Sale,2024-10-20,New Users,SMS,2952,393,38,4037.84,4531.27,3.74,13.3130081300813,9.669211195928753
109449,Membership Drive,2024-10-20,Premium,App,8414,748,63,2195.8,3019.02,2.4,8.889945329213216,8.422459893048128
687130,Category Promotion,2024-10-20,All,Email,4330,822,31,1104.8,6592.8,2.55,18.983833718244803,3.7712895377128954
479853,App Push Notification,2024-10-20,Premium,SMS,6870,227,92,4219.18,4713.09,2.5,3.304221251819505,40.52863436123348
683250,Email Campaign,2024-10-20,Inactive,Email,8382,926,37,1921.49,6651.93,2.88,11.047482701026007,3.995680345572354
794159,Referral Program,2024-10-20,Inactive,Social Media,3200,998,79,1614.98,4026.68,2.57,31.1875,7.915831663326653
593428,New User Discount,2024-10-19,New Users,SMS,1554,121,97,2667.73,6000.11,3.88,7.786357786357787,80.16528925619835
579105,Weekend Special,2024-10-19,New Users,Social Media,7754,920,41,2335.89,4374.42,3.55,11.864843951508899,4.456521739130435
494867,Festival Offer,2024-10-19,New Users,Social Media,4586,977,87,2372.56,3816.48,3.11,21.303968600087224,8.904810644831116
972242,Flash Sale,2024-10-19,New Users,App,2553,551,51,4591.88,6236.89,2.52,21.582452017234626,9.25589836660617
762572,Membership Drive,2024-10-19,All,Social Media,6285,971,52,3257.45,2757.61,1.98,15.449482895783612,5.355303810504634
736483,Category Promotion,2024-10-19,Premium,Email,8086,938,23,4006.13,8109.27,3.31,11.600296809300024,2.4520255863539444
822872,App Push Notification,2024-10-19,Inactive,SMS,3595,244,72,3807.41,4183.31,2.13,6.787204450625869,29.508196721311474
444700,Email Campaign,2024-10-19,New Users,App,3648,917,65,1167.11,9601.21,3.35,25.13706140350877,7.088331515812432
382659,Referral Program,2024-10-19,Premium,App,6139,355,77,4850.15,5703.32,3.53,5.782700765597003,21.69014084507042
911817,New User Discount,2024-10-18,New Users,App,2358,459,76,3039.4,3814.89,1.78,19.46564885496183,16.55773420479303
977198,Weekend Special,2024-10-18,Premium,Social Media,1311,828,21,3593.2,8054.46,1.84,63.1578947368421,2.536231884057971
338461,Festival Offer,2024-10-18,Inactive,App,8837,717,85,2017.25,6910.97,3.49,8.113613217155143,11.85495118549512
490083,Flash Sale,2024-10-18,New Users,App,8394,490,95,1419.59,2756.89,3.38,5.837502978317846,19.387755102040817
538898,Membership Drive,2024-10-18,New Users,App,1025,971,57,1872.13,3381.51,3.61,94.73170731707316,5.8702368692070035
570365,Category Promotion,2024-10-18,Inactive,Social Media,5313,591,76,1187.93,7750.31,2.17,11.123658949745906,12.859560067681894
71028,App Push Notification,2024-10-18,Inactive,App,9195,547,39,3435.03,9024.93,3.14,5.948885263730288,7.129798903107861
914119,Email Campaign,2024-10-18,New Users,Email,7683,319,37,4746.76,5034.95,3.8,4.152023948978264,11.598746081504702
277306,Referral Program,2024-10-18,Premium,Social Media,2064,390,12,1312.97,4952.09,1.65,18.8953488372093,3.076923076923077
992859,New User Discount,2024-10-17,Inactive,SMS,6077,157,29,4324.59,3798.75,3.78,2.583511601118973,18.471337579617835
38680,Weekend Special,2024-10-17,Premium,App,6986,769,13,2756.39,3006.93,2.15,11.007729745204694,1.6905071521456438
627466,Festival Offer,2024-10-17,Inactive,SMS,6475,330,17,3389.57,6934.82,1.94,5.096525096525097,5.151515151515151
721480,Flash Sale,2024-10-17,Premium,App,4621,846,89,2010.23,4857.76,2.62,18.30772560051937,10.520094562647754
463470,Membership Drive,2024-10-17,Premium,Email,4866,843,10,2036.43,9742.66,1.54,17.32429099876695,1.1862396204033214
611505,Category Promotion,2024-10-17,Inactive,Social Media,7936,927,82,4318.97,7069.93,3.56,11.68094758064516,8.845738942826321
978930,App Push Notification,2024-10-17,New Users,SMS,1465,194,75,1536.67,6191.95,3.76,13.242320819112626,38.659793814432994
408445,Email Campaign,2024-10-17,New Users,App,2312,487,68,2525.56,9208.83,2.82,21.06401384083045,13.963039014373715
848590,Referral Program,2024-10-17,Inactive,Email,9067,787,93,1057.25,9577.92,3.12,8.67982794750193,11.81702668360864
942963,New User Discount,2024-10-16,Inactive,Email,3217,359,12,1361.43,8734.81,1.51,11.159465340379235,3.3426183844011144
94992,Weekend Special,2024-10-16,All,App,7529,547,79,4082.14,2765.4,3.46,7.2652410678709,14.442413162705666
34191,Festival Offer,2024-10-16,Inactive,Social Media,3138,724,13,1622.33,7683.62,3.58,23.07202039515615,1.7955801104972375
358462,Flash Sale,2024-10-16,Inactive,App,4765,411,60,2277.77,6766.63,3.26,8.625393494228751,14.5985401459854
511991,Membership Drive,2024-10-16,All,SMS,9683,100,92,2353.78,4471.61,2.95,1.0327377878756583,92.0
234036,Category Promotion,2024-10-16,Inactive,SMS,2176,167,57,4239.19,8603.76,1.62,7.674632352941177,34.13173652694611
460964,App Push Notification,2024-10-16,All,SMS,5570,150,37,2175.55,2538.18,2.74,2.6929982046678633,24.666666666666668
562835,Email Campaign,2024-10-16,All,SMS,3914,241,25,3267.78,3558.02,1.95,6.157383750638733,10.37344398340249
569002,Referral Program,2024-10-16,Premium,Social Media,5481,759,55,4609.27,3819.5,3.26,13.84783798576902,7.246376811594203
686645,New User Discount,2024-10-15,All,Social Media,4109,649,86,2389.82,9766.72,3.23,15.794597225602336,13.251155624036981
914931,Weekend Special,2024-10-15,New Users,Social Media,5724,877,67,3027.31,3345.95,2.02,15.321453529000697,7.639680729760548
843274,Festival Offer,2024-10-15,Premium,Social Media,1034,968,58,4438.6,2588.21,3.86,93.61702127659575,5.991735537190083
308911,Flash Sale,2024-10-15,New Users,Social Media,4919,661,63,4818.43,5003.95,2.67,13.437690587517789,9.531013615733738
320610,Membership Drive,2024-10-15,All,SMS,5174,376,81,3036.37,4448.69,3.69,7.267104754541941,21.54255319148936
487151,Category Promotion,2024-10-15,All,Social Media,3416,685,98,4018.36,2170.94,2.3,20.052693208430913,14.306569343065693
390634,App Push Notification,2024-10-15,Premium,Email,8930,361,94,1510.67,4795.86,3.29,4.042553191489362,26.038781163434905
411434,Email Campaign,2024-10-15,Inactive,Email,3597,149,48,4273.24,5148.84,2.75,4.142340839588546,32.21476510067114
929630,Referral Program,2024-10-15,New Users,Email,3344,810,88,2786.73,7608.13,3.25,24.22248803827751,10.864197530864198
786085,New User Discount,2024-10-14,New Users,Social Media,9878,792,84,1995.07,5772.9,2.48,8.017817371937639,10.606060606060606
874058,Weekend Special,2024-10-14,Inactive,App,4890,929,100,3933.1,7013.19,3.75,18.99795501022495,10.76426264800861
336128,Festival Offer,2024-10-14,Premium,Email,5261,475,32,1902.86,8899.39,1.82,9.028701767724767,6.7368421052631575
957007,Flash Sale,2024-10-14,Premium,Email,7155,454,51,1727.08,5407.31,2.75,6.345213137665969,11.233480176211454
148522,Membership Drive,2024-10-14,All,Social Media,7279,693,93,4386.41,9441.08,2.27,9.52053853551312,13.41991341991342
479381,Category Promotion,2024-10-14,Premium,Email,5884,689,14,2415.08,3067.78,2.57,11.709721278042148,2.0319303338171264
197209,App Push Notification,2024-10-14,Premium,SMS,1558,415,49,2979.87,3609.89,2.93,26.63671373555841,11.80722891566265
391697,Email Campaign,2024-10-14,Inactive,Email,8221,910,13,1357.64,4046.13,2.87,11.0692129911203,1.4285714285714286
614584,Referral Program,2024-10-14,All,SMS,6749,792,24,4576.84,5500.51,3.45,11.735071862498147,3.0303030303030303
142389,New User Discount,2024-10-13,All,SMS,3365,963,12,3397.73,7077.5,2.86,28.618127786032687,1.2461059190031152
289397,Weekend Special,2024-10-13,All,App,8092,974,18,1253.01,4088.11,3.03,12.036579337617399,1.8480492813141685
171934,Festival Offer,2024-10-13,Premium,SMS,8092,327,52,2546.42,3189.71,2.96,4.041028175976273,15.902140672782874
690497,Flash Sale,2024-10-13,All,Email,9841,105,95,4278.17,7796.05,3.51,1.0669647393557566,90.47619047619048
432807,Membership Drive,2024-10-13,New Users,App,7336,160,53,2485.13,3512.87,1.97,2.1810250817884405,33.125
167425,Category Promotion,2024-10-13,New Users,App,7572,763,87,2233.11,6294.83,2.14,10.076597992604333,11.402359108781127
808905,App Push Notification,2024-10-13,New Users,App,6174,472,59,2242.83,6950.51,3.39,7.644962747003563,12.5
71699,Email Campaign,2024-10-13,Premium,SMS,3743,573,68,3512.16,7812.0,3.02,15.308576008549293,11.8673647469459
652119,Referral Program,2024-10-13,New Users,App,8629,951,23,4036.51,9053.65,2.71,11.020975779348706,2.4185068349106205
618967,New User Discount,2024-10-12,New Users,App,1582,975,96,1487.46,7566.78,3.96,61.63084702907712,9.846153846153847
284634,Weekend Special,2024-10-12,New Users,App,3803,465,55,1690.55,5220.23,2.0,12.22718906126742,11.827956989247312
139196,Festival Offer,2024-10-12,All,Email,8047,726,47,2066.11,7037.37,3.56,9.021995774822916,6.473829201101928
487782,Flash Sale,2024-10-12,New Users,Email,1732,919,93,3754.68,4181.59,2.94,53.06004618937644,10.119695321001087
33956,Membership Drive,2024-10-12,Inactive,Social Media,9818,161,75,3600.34,7589.85,2.57,1.639845182318191,46.58385093167702
907406,Category Promotion,2024-10-12,All,Social Media,6043,814,75,4668.71,4446.99,1.97,13.470130729769982,9.213759213759214
313154,App Push Notification,2024-10-12,New Users,Social Media,6666,106,85,4173.34,3090.57,1.84,1.5901590159015901,80.18867924528303
719685,Email Campaign,2024-10-12,All,SMS,1248,502,17,2981.17,5981.93,3.99,40.22435897435898,3.386454183266932
584304,Referral Program,2024-10-12,New Users,Email,7619,727,53,3264.04,7285.68,3.51,9.541934637091481,7.290233837689134
14008,New User Discount,2024-10-11,Premium,Social Media,7827,694,82,4438.83,7975.61,3.6,8.866743324389931,11.815561959654179
348891,Weekend Special,2024-10-11,New Users,Social Media,9723,160,100,3776.75,5915.34,2.59,1.6455826391031576,62.5
